Id,SalePrice
1752,263415.89387624897
1753,135581.88817723154
1754,219407.14898237665
1755,219407.14898237665
1756,135581.88817723154
1757,126397.74771828284
1758,78666.6271405996
1759,176049.89190502427
1760,91127.44661564517
1761,126397.74771828284
1762,211842.56831315576
1763,126397.74771828284
1764,183520.48183634374
1765,416693.9282727542
1766,263415.89387624897
1767,176049.89190502427
1768,91127.44661564517
1769,176049.89190502427
1770,141440.198743112
1771,183520.48183634374
1772,126397.74771828284
1773,92592.37382378832
1774,416693.9282727542
1775,126397.74771828284
1776,126397.74771828284
1777,92592.37382378832
1778,92592.37382378832
1779,248058.9332423638
1780,183520.48183634374
1781,114988.52646434307
1782,141440.198743112
1783,176049.89190502427
1784,126397.74771828284
1785,183520.48183634374
1786,61293.39251724656
1787,126397.74771828284
1788,263415.89387624897
1789,295516.7980011335
1790,61293.39251724656
1791,126397.74771828284
1792,430972.4734576413
1793,161428.9311408476
1794,91127.44661564517
1795,91127.44661564517
1796,126397.74771828284
1797,126397.74771828284
1798,227471.24603982424
1799,150456.48254081284
1800,416693.9282727542
1801,91127.44661564517
1802,150456.48254081284
1803,183520.48183634374
1804,166852.15190327086
1805,150456.48254081284
1806,141440.198743112
1807,176049.89190502427
1808,176049.89190502427
1809,126397.74771828284
1810,141440.198743112
1811,166852.15190327086
1812,166852.15190327086
1813,295627.76801002334
1814,212198.8958037642
1815,150456.48254081284
1816,141440.198743112
1817,126397.74771828284
1818,126397.74771828284
1819,183520.48183634374
1820,114988.52646434307
1821,126397.74771828284
1822,126397.74771828284
1823,126397.74771828284
1824,126397.74771828284
1825,141440.198743112
1826,126397.74771828284
1827,78666.6271405996
1828,114988.52646434307
1829,126397.74771828284
1830,212198.8958037642
1831,141440.198743112
1832,226848.84060562096
1833,161428.9311408476
1834,135581.88817723154
1835,126397.74771828284
1836,176049.89190502427
1837,150456.48254081284
1838,373149.15008820273
1839,219407.14898237665
1840,92592.37382378832
1841,176049.89190502427
1842,214367.56757988338
1843,91127.44661564517
1844,211842.56831315576
1845,227471.24603982424
1846,183520.48183634374
1847,183520.48183634374
1848,126397.74771828284
1849,290540.67112291214
1850,161428.9311408476
1851,126397.74771828284
1852,183520.48183634374
1853,150456.48254081284
1854,150456.48254081284
1855,126397.74771828284
1856,263415.89387624897
1857,185193.7929029581
1858,126397.74771828284
1859,126397.74771828284
1860,219407.14898237665
1861,227471.24603982424
1862,416693.9282727542
1863,227471.24603982424
1864,126397.74771828284
1865,126397.74771828284
1866,166852.15190327086
1867,183520.48183634374
1868,150456.48254081284
1869,263415.89387624897
1870,135581.88817723154
1871,150456.48254081284
1872,126397.74771828284
1873,183520.48183634374
1874,219407.14898237665
1875,161428.9311408476
1876,295516.7980011335
1877,183520.48183634374
1878,91127.44661564517
1879,141440.198743112
1880,176049.89190502427
1881,127273.59183870307
1882,214367.56757988338
1883,416693.9282727542
1884,176049.89190502427
1885,126397.74771828284
1886,106285.26239492834
1887,183520.48183634374
1888,126397.74771828284
1889,157769.75738021333
1890,126397.74771828284
1891,135581.88817723154
1892,176049.89190502427
1893,176049.89190502427
1894,92592.37382378832
1895,183520.48183634374
1896,141440.198743112
1897,126397.74771828284
1898,295516.7980011335
1899,126397.74771828284
1900,135581.88817723154
1901,166852.15190327086
1902,161428.9311408476
1903,135581.88817723154
1904,212198.8958037642
1905,92592.37382378832
1906,212198.8958037642
1907,135581.88817723154
1908,212198.8958037642
1909,106285.26239492834
1910,214367.56757988338
1911,135581.88817723154
1912,150456.48254081284
1913,150456.48254081284
1914,176049.89190502427
1915,161428.9311408476
1916,126397.74771828284
1917,295516.7980011335
1918,91127.44661564517
1919,92592.37382378832
1920,126397.74771828284
1921,126397.74771828284
1922,258433.96215858537
1923,176049.89190502427
1924,150456.48254081284
1925,176049.89190502427
1926,166852.15190327086
1927,61293.39251724656
1928,334608.6340314331
1929,150456.48254081284
1930,126397.74771828284
1931,334608.6340314331
1932,150456.48254081284
1933,126397.74771828284
1934,141440.198743112
1935,126397.74771828284
1936,212198.8958037642
1937,150456.48254081284
1938,430972.4734576413
1939,126397.74771828284
1940,176049.89190502427
1941,126397.74771828284
1942,161428.9311408476
1943,126397.74771828284
1944,176049.89190502427
1945,161428.9311408476
1946,141440.198743112
1947,135581.88817723154
1948,219407.14898237665
1949,135581.88817723154
1950,176049.89190502427
1951,290540.67112291214
1952,166852.15190327086
1953,295627.76801002334
1954,126397.74771828284
1955,78666.6271405996
1956,295516.7980011335
1957,176049.89190502427
1958,126397.74771828284
1959,161428.9311408476
1960,92592.37382378832
1961,126397.74771828284
1962,161428.9311408476
1963,91127.44661564517
1964,135581.88817723154
1965,176049.89190502427
1966,272925.68506465986
1967,325028.8275074713
1968,247828.54934334467
1969,126397.74771828284
1970,61293.39251724656
1971,176049.89190502427
1972,295516.7980011335
1973,382631.9736122712
1974,272925.68506465986
1975,211842.56831315576
1976,114988.52646434307
1977,114988.52646434307
1978,150456.48254081284
1979,126397.74771828284
1980,227471.24603982424
1981,141440.198743112
1982,161428.9311408476
1983,141440.198743112
1984,247828.54934334467
1985,176049.89190502427
1986,334608.6340314331
1987,176049.89190502427
1988,150456.48254081284
1989,248058.9332423638
1990,61293.39251724656
1991,141440.198743112
1992,336204.78685226984
1993,141440.198743112
1994,127273.59183870307
1995,161428.9311408476
1996,336204.78685226984
1997,126397.74771828284
1998,114988.52646434307
1999,126397.74771828284
2000,92592.37382378832
2001,491012.0440617987
2002,183520.48183634374
2003,126397.74771828284
2004,290633.6401664872
2005,247828.54934334467
2006,126397.74771828284
2007,126397.74771828284
2008,92592.37382378832
2009,126397.74771828284
2010,227471.24603982424
2011,183520.48183634374
2012,263415.89387624897
2013,126397.74771828284
2014,91127.44661564517
2015,126397.74771828284
2016,92592.37382378832
2017,126397.74771828284
2018,227471.24603982424
2019,150456.48254081284
2020,161428.9311408476
2021,176049.89190502427
2022,126397.74771828284
2023,491012.0440617987
2024,176049.89190502427
2025,295516.7980011335
2026,295516.7980011335
2027,161428.9311408476
2028,126397.74771828284
2029,126397.74771828284
2030,263415.89387624897
2031,226848.84060562096
2032,92592.37382378832
2033,61293.39251724656
2034,126397.74771828284
2035,214367.56757988338
2036,126397.74771828284
2037,135581.88817723154
2038,248058.9332423638
2039,176049.89190502427
2040,141440.198743112
2041,91127.44661564517
2042,61293.39251724656
2043,150456.48254081284
2044,176049.89190502427
2045,150456.48254081284
2046,176049.89190502427
2047,106285.26239492834
2048,135581.88817723154
2049,183520.48183634374
2050,183520.48183634374
2051,219407.14898237665
2052,247828.54934334467
2053,126397.74771828284
2054,212198.8958037642
2055,127273.59183870307
2056,183520.48183634374
2057,161428.9311408476
2058,183520.48183634374
